model,config,n,MAE_kcal,MAPE_kcal,wMAPE_kcal,daily_kcal,MAE_protein,MAPE_protein,wMAPE_protein,daily_protein,MAE_fat,MAPE_fat,wMAPE_fat,daily_fat,MAE_carbs,MAPE_carbs,wMAPE_carbs,daily_carbs
gpt-4.1-mini,V1,301,85.91,38.13,33.79,20.91,6.92,40.18,37.98,25.83,6.55,75.33,49.18,31.1,6.98,52.51,38.95,23.25
gpt-4.1-mini,V2,282,150.6,70.8,57.6,31.38,11.97,80.92,63.43,42.1,11.16,251.1,80.89,47.82,15.55,108.32,85.96,55.57
gpt-4.1-mini,V3,291,103.03,51.11,39.57,22.53,7.91,54.79,41.98,27.83,7.39,133.15,53.8,30.45,8.42,62.43,47.01,27.87
gpt-4.1-mini,V4,293,110.79,53.61,42.75,22.8,9.09,62.33,48.58,32.04,8.18,177.98,59.87,33.85,10.26,76.55,57.28,34.22
gpt-4.1-mini,V5,289,113.08,56.38,43.17,23.28,8.89,57.85,46.87,30.05,8.7,204.02,62.87,37.72,9.33,72.1,51.88,29.7
gpt-4o,V1,266,79.93,42.42,32.42,18.57,7.1,42.29,39.44,27.14,6.2,81.57,48.83,30.02,6.92,67.04,38.94,25.69
gpt-4o,V2,255,174.62,101.37,70.7,44.26,11.75,126.17,65.87,41.27,13.07,301.24,102.42,69.47,16.56,141.49,92.22,67.59
gpt-4o,V3,265,98.38,59.97,39.83,23.46,7.67,65.9,42.5,27.81,7.31,150.58,57.6,38.46,8.93,79.41,50.18,33.53
gpt-4o,V4,265,119.95,73.0,48.56,30.81,8.63,89.3,47.79,31.45,8.79,209.94,69.2,49.53,11.14,101.5,62.65,46.96
gpt-4o,V5,259,117.64,72.08,47.03,31.86,9.01,83.99,49.15,30.9,8.52,233.14,66.37,54.07,10.45,82.03,57.86,37.14
