dish_id,gt_kcal,gt_ingr_count,gt_ingr,gpt-4.1-mini__kcal_est,gpt-4.1-mini__pct_err,gpt-4.1-mini__dish_ru,gpt-4.1__kcal_est,gpt-4.1__pct_err,gpt-4.1__dish_ru,gpt-4o__kcal_est,gpt-4o__pct_err,gpt-4o__dish_ru,claude-sonnet-4-6__kcal_est,claude-sonnet-4-6__pct_err,claude-sonnet-4-6__dish_ru,claude-haiku-4-5__kcal_est,claude-haiku-4-5__pct_err,claude-haiku-4-5__dish_ru,gemini-2.5-pro__kcal_est,gemini-2.5-pro__pct_err,gemini-2.5-pro__dish_ru,gemini-2.5-flash__kcal_est,gemini-2.5-flash__pct_err,gemini-2.5-flash__dish_ru
dish_1556575558,103.3,3,"celery, olives, brussels sprouts",90.0,12.9,Тушеная брюссельская капуста с красной фасолью и сельдереем,80.0,22.6,"Салат с брюссельской капустой, красной фасолью и сельдереем",110.0,6.5,Брюссельская капуста с фасолью и сельдереем,145.0,40.4,"Овощная закуска с брюссельской капустой, оливками и сельдереем",220.0,113.0,Салат из оливок и огурца,175.0,69.4,Овощной салат с оливками и брюссельской капустой,180.0,74.2,"Салат из брюссельской капусты, оливок и сельдерея"
dish_1557853229,195.9,1,eggs,140.0,28.5,картофельное пюре с морковью,220.0,12.3,яичница-болтунья,210.0,7.2,Яичница-болтунья,220.0,12.3,Яичница-болтунья (scrambled eggs),245.0,25.0,Омлет с овощами,185.0,5.6,Яичница-болтунья (скрэмбл),180.0,8.1,Картофельное пюре с морковью
dish_1557853429,330.2,3,"strawberries, eggs, yam",230.0,30.3,Яичница с овощами и клубникой,230.0,30.3,"Омлет с бататом, куриным филе и клубникой",320.0,3.1,"Омлет с бататом, клубникой и кусочками мяса",390.0,18.1,Яичница с жареным тофу и клубникой,285.0,13.7,"Завтрак с омлетом, сладким картофелем и клубникой",415.0,25.7,"Скрэмбл с запеченным бататом, сосиской и клубникой",450.0,36.3,"Завтрак с яичницей, бататом, сосисками и клубникой"
dish_1557862738,319.8,1,steak,270.0,15.6,жареная говядина,180.0,43.7,кусочки стейка средней прожарки,300.0,6.2,Стейк средней прожарки,245.0,23.4,Жареная говядина (куски стейка),385.0,20.4,Мясное ассорти (говядина и колбаса),195.0,39.0,Жареная говядина,300.0,6.2,Стейк из говядины средней прожарки
dish_1557937758,106.8,5,"blackberries, strawberries, yam, raspberries, eggs",140.0,31.1,Яичница с ягодами и запечённым бататом,55.0,48.5,"Остатки завтрака с ягодами, сладким картофелем и яичницей",150.0,40.5,"Овощи, омлет и ягоды",175.0,63.9,Лёгкий завтрак: яичница с бататом и ягодами,95.0,11.0,Фруктовая тарелка с ягодами и сухариками,148.0,38.6,Скрэмбл с бататом и ягодами,250.0,134.1,"Завтрак с яичницей, бататом и ягодами"
dish_1558028492,20.7,1,cantaloupe,30.0,44.6,Дыня нарезанная,25.0,20.5,кубики дыни канталупы,34.0,63.9,Кусочки дыни,41.0,97.7,Нарезанная дыня,43.0,107.3,Нарезанная папайя,27.0,30.2,Нарезанная дыня канталупа,34.0,63.9,Кусочки дыни
dish_1558029278,146.1,1,bacon,90.0,38.4,жареный бекон,210.0,43.8,Жареный бекон,270.0,84.8,Жареный бекон,115.0,21.3,Жареный бекон,210.0,43.8,Жареный бекон,109.0,25.4,Жареный бекон,108.0,26.1,Жареный бекон
dish_1558031133,136.5,1,yam,120.0,12.1,жареный батат,81.0,40.7,Запечённый батат,130.0,4.8,Запечённый батат,118.0,13.6,Запечённый батат кусочками,245.0,79.5,Жареный батат с колбасой,108.0,20.9,Запеченный батат,130.0,4.8,Запеченный батат
dish_1558031351,12.3,1,deprecated,15.0,22.0,Арбуз нарезанный,12.0,2.4,кубики арбуза,15.0,22.0,Кусочки арбуза,24.0,95.1,Нарезанный арбуз,27.0,119.5,Нарезанный красный болгарский перец,15.0,22.0,Нарезанный арбуз,30.0,143.9,Кусочки арбуза
dish_1558109864,213.9,1,almonds,174.0,18.7,миндаль сырой,145.0,32.2,сырые миндальные орехи,173.0,19.1,Миндаль,174.0,18.7,Миндаль сырой,263.0,23.0,Жареный арахис,145.0,32.2,Миндаль,172.0,19.6,Миндаль
dish_1558110245,29.1,1,berries,15.0,48.4,ягоды малины и ежевики,15.0,48.4,Свежие ягоды (малина и ежевика),30.0,3.2,Ягоды на тарелке,22.0,24.3,Свежие ягоды (малина и ежевика),95.0,226.8,Йогурт с ягодами,23.0,20.9,Свежие ягоды,50.0,72.0,Смесь ягод (ежевика и физалис)
dish_1558113255,30.6,1,cantaloupe,30.0,2.0,Дыня нарезанная,32.0,4.6,кубики дыни канталупы,60.0,96.1,"Дыня, нарезанная кубиками",118.0,285.6,Йогурт с дыней,110.0,259.5,Йогурт с абрикосом,51.0,66.7,Нарезанная дыня канталупа,51.0,66.7,Нарезанная дыня
