dish_id,gt_kcal,n_ingr,ingredients,gpt-4.1-mini,gpt-4.1,gpt-4o,claude-sonnet-4-6,claude-haiku-4-5,gemini-2.5-pro,gemini-2.5-flash,avg_pct
dish_1562615070,14.5,3,"squash, olive oil, salt",176.4,280.1,452.8,798.3,1178.4,141.9,314.6,477.5
dish_1563996596,39.6,1,caesar salad,354.5,177.8,354.5,228.3,392.4,468.2,607.1,369.0
dish_1558373639,5.6,1,mixed greens,78.6,42.9,167.9,828.6,1060.7,25.0,167.9,338.8
dish_1563822597,59.4,4,"broccoli, caesar salad, squash, zucchini",203.0,102.0,203.0,253.5,312.5,346.1,438.7,265.5
dish_1566592456,55.4,1,caesar salad,170.6,71.4,296.8,233.7,414.1,251.7,405.1,263.3
dish_1558468494,15.8,1,squash,280.1,24.0,90.1,375.1,818.6,58.4,58.4,243.5
dish_1562860700,23.5,1,pineapple,36.2,44.7,6.4,74.5,1227.7,6.4,70.2,209.4
dish_1561407312,127.8,20,"chicken, white rice, onions, pepper, couscous",150.3,79.9,173.8,228.6,248.1,185.5,252.0,188.3
dish_1565724509,30.8,2,"chayote squash, zucchini",192.1,41.6,127.2,208.3,406.3,67.5,240.8,183.4
dish_1559934679,160.8,13,"quinoa, wine, eggplant, mushroom, chicken thighs",98.9,67.9,117.6,223.3,139.4,201.5,304.1,164.7
dish_1564588719,222.3,2,"chilaquiles, sausage",169.9,89.0,102.4,89.0,205.9,205.9,237.4,157.1
dish_1565812116,44.4,9,"mustard, salt, olive oil, blueberries, vinegar",102.5,43.7,57.5,46.3,541.3,165.5,57.5,144.9
dish_1560543525,83.4,3,"olives, tomatoes, caesar salad",79.8,31.8,43.8,283.6,121.7,193.7,235.6,141.4
dish_1561578373,164.5,10,"cheese pizza, bell peppers, caesar salad, lettuce, cucumbers",94.5,76.3,143.2,137.1,73.3,164.4,234.4,131.9
dish_1559062051,56.2,1,sweet potato,113.4,24.5,77.8,211.2,198.7,18.2,237.8,125.9
dish_1558457468,23.8,1,cantaloupe,28.6,34.5,152.1,370.6,51.3,114.3,114.3,123.7
dish_1558637698,12.2,1,cauliflower,63.3,63.3,104.1,144.9,169.4,104.1,210.2,122.8
dish_1562603569,121.7,3,"bacon, olive oil, sweet potato",105.5,72.6,146.5,72.6,298.6,2.7,130.1,118.4
dish_1558113255,30.6,1,cantaloupe,2.0,4.6,96.1,285.6,259.5,66.7,66.7,111.6
dish_1559678651,107.9,13,"ketchup, jalapenos, fish, salt, bell peppers",29.8,48.3,104.0,187.4,53.0,192.1,159.6,110.6
dish_1562688382,113.6,1,chicken apple sausage,40.8,40.8,120.1,172.9,115.7,146.5,120.1,108.1
dish_1560802562,8.9,8,"olive oil, lemon juice, bulgur, salt, kale",66.1,77.4,43.5,54.8,35.5,430.9,43.5,107.4
dish_1562876494,40.1,14,"pepper, chicken, squash, wheat berry, spinach (raw)",24.7,12.2,99.5,174.3,386.2,12.7,12.2,103.1
dish_1558639876,68.2,3,"carrot, cantaloupe, cauliflower",2.7,12.0,2.7,39.3,611.4,0.3,24.7,99.0
dish_1565810146,36.4,9,"lettuce, carrot, salt, pumpkin seeds, mustard",86.3,86.3,80.8,83.5,188.1,83.5,78.0,98.1
dish_1568313575,57.9,3,"mushroom, mixed greens, avocado",55.3,56.9,31.0,81.2,150.3,150.3,158.9,97.7
dish_1560455030,20.6,3,"cherry tomatoes, cucumbers, baby carrots",45.7,21.4,70.0,167.1,230.3,26.3,118.6,97.1
dish_1560357832,181.4,10,"mustard, waffles, vinegar, cucumbers, spinach (raw)",76.5,76.5,93.0,137.1,112.3,73.7,93.0,94.6
