ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778065781.02,nutriclinic_bot,213.07,1421.3,18.14,15.2,0.92
1778065781.02,nutriclinic_redis,0.2,10.8,0.14,0.15,0.08
1778065781.02,nutriclinic_postgres,0.0,31.0,0.4,2.19,35.2
1778065781.02,nutriclinic_minio,0.02,95.3,1.22,0.05,0.01
1778065784.08,nutriclinic_bot,0.0,1899.5,24.24,20.1,0.95
1778065784.08,nutriclinic_redis,0.25,10.6,0.14,0.15,0.08
1778065784.08,nutriclinic_postgres,0.0,32.9,0.42,2.22,40.1
1778065784.08,nutriclinic_minio,0.01,95.3,1.22,0.05,0.01
1778065787.18,nutriclinic_bot,1.19,1905.7,24.32,20.1,0.96
1778065787.18,nutriclinic_redis,0.84,10.3,0.13,0.15,0.08
1778065787.18,nutriclinic_postgres,0.38,34.8,0.44,2.22,40.1
1778065787.18,nutriclinic_minio,0.05,95.3,1.22,0.05,0.01
1778065790.26,nutriclinic_bot,0.19,2037.8,26.0,20.2,1.04
1778065790.26,nutriclinic_redis,0.79,10.3,0.13,0.15,0.08
1778065790.26,nutriclinic_postgres,1.83,36.8,0.47,2.26,40.1
1778065790.26,nutriclinic_minio,0.05,95.3,1.22,0.05,0.01
1778065793.34,nutriclinic_bot,1.02,2031.6,25.93,20.2,1.08
1778065793.34,nutriclinic_redis,0.53,10.6,0.14,0.15,0.08
1778065793.34,nutriclinic_postgres,0.06,39.0,0.5,2.3,40.1
1778065793.34,nutriclinic_minio,0.0,95.3,1.22,0.05,0.01
1778065796.4,nutriclinic_bot,0.43,2040.8,26.04,20.2,1.11
1778065796.4,nutriclinic_redis,0.2,10.6,0.14,0.15,0.08
1778065796.4,nutriclinic_postgres,0.05,39.0,0.5,2.33,40.1
1778065796.4,nutriclinic_minio,0.01,95.3,1.22,0.05,0.01
1778065799.48,nutriclinic_bot,305.55,2033.7,25.95,20.2,1.15
1778065799.48,nutriclinic_redis,0.23,10.6,0.14,0.15,0.08
1778065799.48,nutriclinic_postgres,0.04,39.0,0.5,2.36,40.2
1778065799.48,nutriclinic_minio,0.01,95.3,1.22,0.05,0.01
1778065802.58,nutriclinic_bot,458.58,2041.9,26.05,20.2,1.22
1778065802.58,nutriclinic_redis,0.48,10.6,0.14,0.15,0.08
1778065802.58,nutriclinic_postgres,0.12,39.2,0.5,2.42,40.2
1778065802.58,nutriclinic_minio,0.02,95.3,1.22,0.05,0.01
1778065805.73,nutriclinic_bot,0.59,2040.8,26.05,20.2,1.22
1778065805.73,nutriclinic_redis,0.79,10.6,0.14,0.15,0.08
1778065805.73,nutriclinic_postgres,2.06,39.2,0.5,2.42,40.2
1778065805.73,nutriclinic_minio,1.83,95.5,1.22,0.05,0.01
1778065808.8,nutriclinic_bot,200.91,2041.9,26.06,20.2,1.28
1778065808.8,nutriclinic_redis,0.34,10.6,0.14,0.15,0.08
1778065808.8,nutriclinic_postgres,0.0,39.2,0.5,2.48,40.2
1778065808.8,nutriclinic_minio,0.03,95.3,1.22,0.05,0.01
1778065811.89,nutriclinic_bot,118.88,2036.7,25.99,20.3,1.35
1778065811.89,nutriclinic_redis,0.39,10.6,0.14,0.15,0.08
1778065811.89,nutriclinic_postgres,0.01,39.2,0.5,2.55,40.2
1778065811.89,nutriclinic_minio,0.03,95.3,1.22,0.05,0.01
1778065814.95,nutriclinic_bot,0.02,2036.7,25.99,20.3,1.35
1778065814.95,nutriclinic_redis,0.23,10.3,0.13,0.15,0.08
1778065814.95,nutriclinic_postgres,0.0,39.2,0.5,2.55,40.2
1778065814.95,nutriclinic_minio,0.02,95.3,1.22,0.05,0.01
1778065818.02,nutriclinic_bot,462.1,2039.8,26.04,20.3,1.42
1778065818.02,nutriclinic_redis,0.39,10.6,0.14,0.15,0.08
1778065818.02,nutriclinic_postgres,0.17,39.2,0.5,2.61,40.2
1778065818.02,nutriclinic_minio,0.01,95.3,1.22,0.05,0.01
1778065821.11,nutriclinic_bot,0.76,2038.8,26.02,20.3,1.46
1778065821.11,nutriclinic_redis,1.21,10.3,0.13,0.15,0.08
1778065821.11,nutriclinic_postgres,2.54,39.2,0.5,2.64,40.2
1778065821.11,nutriclinic_minio,2.34,95.5,1.22,0.05,0.01
1778065824.21,nutriclinic_bot,0.0,2029.6,25.9,20.3,1.52
1778065824.21,nutriclinic_redis,0.34,10.6,0.14,0.15,0.08
1778065824.21,nutriclinic_postgres,0.0,39.2,0.5,2.7,40.2
1778065824.21,nutriclinic_minio,0.01,95.3,1.22,0.05,0.01
1778065827.3,nutriclinic_bot,0.0,2029.6,25.9,20.3,1.53
1778065827.3,nutriclinic_redis,0.56,10.6,0.14,0.15,0.08
1778065827.3,nutriclinic_postgres,2.27,39.2,0.5,2.7,40.2
1778065827.3,nutriclinic_minio,0.21,95.3,1.22,0.05,0.01
1778065830.37,nutriclinic_bot,0.9,2029.6,25.9,20.3,1.54
1778065830.37,nutriclinic_redis,0.59,10.6,0.14,0.15,0.08
1778065830.37,nutriclinic_postgres,0.91,40.3,0.51,2.7,40.2
1778065830.37,nutriclinic_minio,0.78,96.4,1.23,0.05,0.01
1778065833.46,nutriclinic_bot,406.09,2039.8,26.03,20.4,1.58
1778065833.46,nutriclinic_redis,0.56,10.3,0.13,0.15,0.09
1778065833.46,nutriclinic_postgres,0.01,39.2,0.5,2.73,40.2
1778065833.46,nutriclinic_minio,0.0,95.3,1.22,0.05,0.01
1778065836.53,nutriclinic_bot,0.0,2038.8,26.02,20.4,1.58
1778065836.53,nutriclinic_redis,0.23,10.6,0.14,0.15,0.09
1778065836.53,nutriclinic_postgres,0.0,39.2,0.5,2.73,40.2
1778065836.53,nutriclinic_minio,0.02,95.4,1.22,0.05,0.01
1778065839.63,nutriclinic_bot,288.39,2039.8,26.03,20.4,1.61
1778065839.63,nutriclinic_redis,0.5,10.3,0.13,0.15,0.09
1778065839.63,nutriclinic_postgres,0.0,39.2,0.5,2.76,40.2
1778065839.63,nutriclinic_minio,0.0,95.3,1.22,0.05,0.01
1778065842.69,nutriclinic_bot,0.74,2038.8,26.02,20.4,1.62
1778065842.69,nutriclinic_redis,0.24,10.8,0.14,0.15,0.09
1778065842.69,nutriclinic_postgres,0.05,39.2,0.5,2.77,40.2
1778065842.69,nutriclinic_minio,0.02,95.3,1.22,0.05,0.01
