ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778056936.72,nutriclinic_bot,0.0,1608.7,20.53,5.2,0.32
1778056936.72,nutriclinic_redis,1.99,6.4,0.08,0.06,0.07
1778056936.72,nutriclinic_postgres,0.0,48.7,0.62,3.71,29.8
1778056936.72,nutriclinic_minio,0.0,137.8,1.76,0.09,0.02
1778056939.78,nutriclinic_bot,0.0,1608.7,20.53,5.2,0.32
1778056939.78,nutriclinic_redis,0.24,6.4,0.08,0.06,0.07
1778056939.78,nutriclinic_postgres,0.0,50.2,0.64,3.86,34.8
1778056939.78,nutriclinic_minio,1.47,137.8,1.76,0.09,0.02
1778056942.87,nutriclinic_bot,0.0,1608.7,20.53,5.2,0.32
1778056942.87,nutriclinic_redis,0.57,6.6,0.08,0.06,0.07
1778056942.87,nutriclinic_postgres,0.18,52.1,0.66,3.87,34.8
1778056942.87,nutriclinic_minio,0.0,137.8,1.76,0.09,0.02
1778056945.95,nutriclinic_bot,0.0,1608.7,20.53,5.2,0.32
1778056945.95,nutriclinic_redis,0.6,6.4,0.08,0.07,0.07
1778056945.95,nutriclinic_postgres,2.43,56.3,0.72,4.01,34.8
1778056945.95,nutriclinic_minio,2.57,137.9,1.76,0.09,0.02
1778056949.08,nutriclinic_bot,0.0,1608.7,20.53,5.2,0.32
1778056949.08,nutriclinic_redis,0.83,6.6,0.08,0.07,0.07
1778056949.08,nutriclinic_postgres,0.2,56.5,0.72,4.07,34.8
1778056949.08,nutriclinic_minio,0.0,137.8,1.76,0.09,0.02
1778056952.14,nutriclinic_bot,0.16,1610.8,20.56,5.2,0.32
1778056952.14,nutriclinic_redis,0.84,6.7,0.09,0.07,0.07
1778056952.14,nutriclinic_postgres,0.12,56.3,0.72,4.13,34.8
1778056952.14,nutriclinic_minio,0.02,137.8,1.76,0.09,0.02
1778056955.21,nutriclinic_bot,0.0,1608.7,20.53,5.2,0.32
1778056955.21,nutriclinic_redis,0.6,6.6,0.08,0.07,0.07
1778056955.21,nutriclinic_postgres,2.32,56.3,0.72,4.23,34.8
1778056955.21,nutriclinic_minio,2.14,137.9,1.76,0.09,0.02
1778056958.28,nutriclinic_bot,0.0,1608.7,20.53,5.2,0.32
1778056958.28,nutriclinic_redis,0.25,6.4,0.08,0.07,0.07
1778056958.28,nutriclinic_postgres,0.04,56.3,0.72,4.26,34.8
1778056958.28,nutriclinic_minio,0.02,137.8,1.76,0.09,0.02
1778056961.35,nutriclinic_bot,0.01,1608.7,20.53,5.2,0.32
1778056961.35,nutriclinic_redis,0.27,6.4,0.08,0.07,0.07
1778056961.35,nutriclinic_postgres,1.99,56.3,0.72,4.26,34.8
1778056961.35,nutriclinic_minio,0.01,138.1,1.76,0.09,0.02
1778056964.46,nutriclinic_bot,0.0,1608.7,20.53,5.2,0.32
1778056964.46,nutriclinic_redis,0.51,6.6,0.08,0.07,0.07
1778056964.46,nutriclinic_postgres,0.8,58.1,0.74,4.38,34.8
1778056964.46,nutriclinic_minio,0.1,137.8,1.76,0.09,0.02
1778056967.53,nutriclinic_bot,0.0,1608.7,20.53,5.2,0.32
1778056967.53,nutriclinic_redis,0.2,6.9,0.09,0.07,0.07
1778056967.53,nutriclinic_postgres,0.0,60.2,0.77,4.45,34.8
1778056967.53,nutriclinic_minio,0.02,137.8,1.76,0.09,0.02
1778056970.6,nutriclinic_bot,0.03,1608.7,20.53,5.2,0.32
1778056970.6,nutriclinic_redis,0.52,6.4,0.08,0.07,0.07
1778056970.6,nutriclinic_postgres,2.91,60.4,0.77,4.49,34.8
1778056970.6,nutriclinic_minio,2.7,137.8,1.76,0.09,0.02
1778056973.82,nutriclinic_bot,0.06,1608.7,20.53,5.2,0.32
1778056973.82,nutriclinic_redis,0.24,6.4,0.08,0.07,0.07
1778056973.82,nutriclinic_postgres,0.09,60.3,0.77,4.55,34.8
1778056973.82,nutriclinic_minio,0.02,137.8,1.76,0.09,0.02
1778056976.92,nutriclinic_bot,0.0,1608.7,20.53,5.2,0.32
1778056976.92,nutriclinic_redis,0.74,6.6,0.08,0.07,0.07
1778056976.92,nutriclinic_postgres,0.26,60.3,0.77,4.64,34.8
1778056976.92,nutriclinic_minio,0.0,137.9,1.76,0.09,0.02
1778056979.99,nutriclinic_bot,0.0,1608.7,20.53,5.2,0.32
1778056979.99,nutriclinic_redis,0.24,7.1,0.09,0.07,0.07
1778056979.99,nutriclinic_postgres,0.03,60.2,0.77,4.64,34.8
1778056979.99,nutriclinic_minio,0.0,137.8,1.76,0.09,0.02
1778056983.1,nutriclinic_bot,0.0,1608.7,20.53,5.21,0.32
1778056983.1,nutriclinic_redis,0.71,6.7,0.09,0.07,0.07
1778056983.1,nutriclinic_postgres,0.17,60.2,0.77,4.67,34.8
1778056983.1,nutriclinic_minio,0.07,137.8,1.76,0.09,0.02
1778056986.18,nutriclinic_bot,0.0,1608.7,20.53,5.21,0.32
1778056986.18,nutriclinic_redis,0.68,6.6,0.08,0.07,0.08
1778056986.18,nutriclinic_postgres,2.89,60.2,0.77,4.77,34.8
1778056986.18,nutriclinic_minio,2.39,137.9,1.76,0.09,0.02
1778056989.28,nutriclinic_bot,0.0,1608.7,20.53,5.21,0.32
1778056989.28,nutriclinic_redis,0.63,6.4,0.08,0.07,0.08
1778056989.28,nutriclinic_postgres,0.36,60.2,0.77,4.8,34.8
1778056989.28,nutriclinic_minio,0.08,137.8,1.76,0.09,0.02
1778056992.34,nutriclinic_bot,0.02,1608.7,20.53,5.21,0.32
1778056992.34,nutriclinic_redis,0.93,6.4,0.08,0.07,0.08
1778056992.34,nutriclinic_postgres,0.08,60.2,0.77,4.86,34.8
1778056992.34,nutriclinic_minio,0.03,137.8,1.76,0.09,0.02
1778056995.43,nutriclinic_bot,0.0,1608.7,20.53,5.21,0.32
1778056995.43,nutriclinic_redis,0.78,6.4,0.08,0.07,0.08
1778056995.43,nutriclinic_postgres,0.0,60.2,0.77,4.98,34.8
1778056995.43,nutriclinic_minio,0.03,137.8,1.76,0.09,0.02
1778056998.51,nutriclinic_bot,0.0,1608.7,20.53,5.21,0.32
1778056998.51,nutriclinic_redis,0.92,6.5,0.08,0.07,0.08
1778056998.51,nutriclinic_postgres,0.12,60.3,0.77,5.02,34.8
1778056998.51,nutriclinic_minio,0.0,137.8,1.76,0.09,0.02
1778057001.6,nutriclinic_bot,0.03,1608.7,20.53,5.21,0.32
1778057001.6,nutriclinic_redis,0.55,6.4,0.08,0.07,0.08
1778057001.6,nutriclinic_postgres,3.89,60.3,0.77,5.05,34.8
1778057001.6,nutriclinic_minio,2.0,138.0,1.76,0.09,0.02
1778057004.66,nutriclinic_bot,0.0,1608.7,20.53,5.21,0.32
1778057004.66,nutriclinic_redis,0.25,6.4,0.08,0.07,0.08
1778057004.66,nutriclinic_postgres,0.11,62.0,0.79,5.26,34.8
1778057004.66,nutriclinic_minio,0.0,137.9,1.76,0.09,0.02
1778057007.73,nutriclinic_bot,0.04,1608.7,20.53,5.21,0.32
1778057007.73,nutriclinic_redis,1.75,6.4,0.08,0.07,0.08
1778057007.73,nutriclinic_postgres,0.0,62.0,0.79,5.26,34.8
1778057007.73,nutriclinic_minio,0.06,137.9,1.76,0.09,0.02
1778057010.8,nutriclinic_bot,0.01,1608.7,20.53,5.21,0.32
1778057010.8,nutriclinic_redis,0.2,6.4,0.08,0.07,0.08
1778057010.8,nutriclinic_postgres,1.88,62.1,0.79,5.27,34.8
1778057010.8,nutriclinic_minio,1.86,138.0,1.76,0.09,0.02
1778057013.87,nutriclinic_bot,0.0,1608.7,20.53,5.21,0.32
1778057013.87,nutriclinic_redis,0.75,6.6,0.08,0.07,0.08
1778057013.87,nutriclinic_postgres,0.01,64.1,0.82,5.43,34.8
1778057013.87,nutriclinic_minio,0.07,137.9,1.76,0.09,0.02
1778057016.97,nutriclinic_bot,0.0,1608.7,20.53,5.21,0.32
1778057016.97,nutriclinic_redis,1.19,6.9,0.09,0.07,0.08
1778057016.97,nutriclinic_postgres,0.0,64.1,0.82,5.46,34.8
1778057016.97,nutriclinic_minio,0.0,137.9,1.76,0.09,0.02
1778057020.07,nutriclinic_bot,0.0,1608.7,20.53,5.21,0.32
1778057020.07,nutriclinic_redis,0.85,6.4,0.08,0.07,0.08
1778057020.07,nutriclinic_postgres,0.34,64.3,0.82,5.49,34.8
1778057020.07,nutriclinic_minio,0.08,137.9,1.76,0.09,0.02
1778057023.16,nutriclinic_bot,0.0,1608.7,20.53,5.21,0.32
1778057023.16,nutriclinic_redis,0.21,6.6,0.08,0.07,0.08
1778057023.16,nutriclinic_postgres,0.14,64.4,0.82,5.62,34.8
1778057023.16,nutriclinic_minio,0.0,137.9,1.76,0.09,0.02
1778057026.24,nutriclinic_bot,0.0,1608.7,20.53,5.21,0.32
1778057026.24,nutriclinic_redis,0.34,6.4,0.08,0.07,0.08
1778057026.24,nutriclinic_postgres,2.92,64.3,0.82,5.68,34.8
1778057026.24,nutriclinic_minio,0.0,137.9,1.76,0.09,0.02
1778057029.34,nutriclinic_bot,0.0,1608.7,20.53,5.21,0.32
1778057029.34,nutriclinic_redis,0.46,6.6,0.08,0.07,0.08
1778057029.34,nutriclinic_postgres,0.11,64.1,0.82,5.74,34.8
1778057029.34,nutriclinic_minio,0.0,137.9,1.76,0.09,0.02
1778057032.44,nutriclinic_bot,0.08,1608.7,20.53,5.21,0.33
1778057032.44,nutriclinic_redis,1.77,6.4,0.08,0.08,0.08
1778057032.44,nutriclinic_postgres,0.19,64.1,0.82,5.77,34.8
1778057032.44,nutriclinic_minio,0.0,137.9,1.76,0.09,0.02
1778057035.54,nutriclinic_bot,0.0,1608.7,20.53,5.21,0.33
1778057035.54,nutriclinic_redis,0.19,6.6,0.08,0.08,0.08
1778057035.54,nutriclinic_postgres,0.0,64.2,0.82,5.81,34.8
1778057035.54,nutriclinic_minio,0.01,137.9,1.76,0.09,0.02
1778057038.62,nutriclinic_bot,0.0,1608.7,20.53,5.21,0.33
1778057038.62,nutriclinic_redis,0.83,6.7,0.09,0.08,0.08
1778057038.62,nutriclinic_postgres,0.45,64.2,0.82,5.87,34.8
1778057038.62,nutriclinic_minio,0.0,137.9,1.76,0.09,0.02
1778057041.71,nutriclinic_bot,0.01,1608.7,20.53,5.21,0.33
1778057041.71,nutriclinic_redis,0.23,6.4,0.08,0.08,0.08
1778057041.71,nutriclinic_postgres,1.99,64.2,0.82,5.93,34.8
1778057041.71,nutriclinic_minio,2.05,138.0,1.76,0.09,0.02
1778057044.81,nutriclinic_bot,0.0,1608.7,20.53,5.21,0.33
1778057044.81,nutriclinic_redis,0.74,6.4,0.08,0.08,0.08
1778057044.81,nutriclinic_postgres,0.21,64.4,0.82,5.96,34.8
1778057044.81,nutriclinic_minio,0.14,137.9,1.76,0.09,0.02
1778057047.92,nutriclinic_bot,0.0,1608.7,20.53,5.21,0.33
1778057047.92,nutriclinic_redis,2.0,7.1,0.09,0.08,0.08
1778057047.92,nutriclinic_postgres,0.12,64.2,0.82,5.96,34.8
1778057047.92,nutriclinic_minio,0.05,137.9,1.76,0.09,0.02
1778057050.99,nutriclinic_bot,0.01,1608.7,20.53,5.21,0.33
1778057050.99,nutriclinic_redis,0.2,6.4,0.08,0.08,0.08
1778057050.99,nutriclinic_postgres,0.06,64.2,0.82,6.02,34.8
1778057050.99,nutriclinic_minio,0.01,137.9,1.76,0.09,0.02
1778057054.09,nutriclinic_bot,0.0,1608.7,20.53,5.21,0.33
1778057054.09,nutriclinic_redis,0.69,6.9,0.09,0.08,0.08
1778057054.09,nutriclinic_postgres,0.1,64.2,0.82,6.12,34.8
1778057054.09,nutriclinic_minio,0.06,137.9,1.76,0.09,0.02
1778057057.24,nutriclinic_bot,0.0,1608.7,20.53,5.21,0.33
1778057057.24,nutriclinic_redis,0.31,6.6,0.08,0.08,0.08
1778057057.24,nutriclinic_postgres,1.76,64.2,0.82,6.15,34.8
1778057057.24,nutriclinic_minio,0.0,137.9,1.76,0.09,0.02
1778057060.34,nutriclinic_bot,0.04,1608.7,20.53,5.21,0.33
1778057060.34,nutriclinic_redis,0.74,6.4,0.08,0.08,0.08
1778057060.34,nutriclinic_postgres,0.02,64.2,0.82,6.24,34.9
1778057060.34,nutriclinic_minio,1.36,137.9,1.76,0.09,0.02
1778057063.41,nutriclinic_bot,0.05,1608.7,20.53,5.21,0.33
1778057063.41,nutriclinic_redis,0.19,6.6,0.08,0.08,0.08
